brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
60831,for_sale,3000000,,6,1.38,1836183,Quebradillas,Puerto Rico,678,3000,
103379,for_sale,134000,3,2,0.07,733378,Vega Baja,Puerto Rico,693,895,
65672,for_sale,245000,4,2,0.25,867517,Vega Baja,Puerto Rico,693,2038,
59533,for_sale,161000,4,2,0.09,435967,Caguas,Puerto Rico,727,1100,
52707,for_sale,225000,3,2,,1881195,Vega Baja,Puerto Rico,693,1217,
92147,for_sale,290000,4,2,0.22,1868675,Manati,Puerto Rico,674,2236,
109906,for_sale,375000,4,3,0.21,1854739,Barceloneta,Puerto Rico,617,2961,
1123,for_sale,425000,3,2,0.21,1856906,Camuy,Puerto Rico,627,2400,
52707,for_sale,1100000,5,3,0.56,1120998,Quebradillas,Puerto Rico,678,3000,
62210,for_sale,418000,5,3,0.22,2402,Hatillo,Puerto Rico,659,3650,
52707,for_sale,365000,5,3,1.46,1902830,Morovis,Puerto Rico,687,2366,
33888,for_sale,55000,,,0.2,1902872,Hatillo,Puerto Rico,659,,
33888,for_sale,62000,,,0.21,1902871,Hatillo,Puerto Rico,659,,
80224,for_sale,350000,,,10.68,1902881,Hatillo,Puerto Rico,659,,
92147,for_sale,95000,5,2,0.16,151105,Quebradillas,Puerto Rico,95000,1757,
103378,for_sale,64900,,,0.29,1850837,Camuy,Puerto Rico,627,,
103378,for_sale,49900,3,2,0.27,1861976,Barceloneta,Puerto Rico,617,1150,
60027,for_sale,70000,3,1,0.05,1877370,Barceloneta,Puerto Rico,617,,
103378,for_sale,90000,2,2,0.09,1844124,Barceloneta,Puerto Rico,617,955,
103378,for_sale,111000,3,2,0.08,1985086,Barceloneta,Puerto Rico,617,1015,
103378,for_sale,114400,3,2,0.09,1855327,Barceloneta,Puerto Rico,617,1105,
103378,for_sale,113500,3,2,0.14,1967757,Barceloneta,Puerto Rico,617,955,
19801,for_sale,59200,2,1,0.08,594668,Dorado,Puerto Rico,646,700,
1205,for_sale,63800,3,1,0.07,13692,Toa Baja,Puerto Rico,949,950,
86129,for_sale,45000,3,2,0.09,1168757,Toa Alta,Puerto Rico,953,1000,
19801,for_sale,55000,2,2,0.11,1913914,Dorado,Puerto Rico,646,800,
19801,for_sale,100000,5,3,0.61,1547175,Vega Alta,Puerto Rico,692,1400,
81909,for_sale,80000,4,2,0.19,1584559,Corozal,Puerto Rico,783,1500,
81909,for_sale,55000,2,2,1.22,1913924,Naranjito,Puerto Rico,719,1500,
52707,for_sale,157500,4,2,0.08,377951,Toa Alta,Puerto Rico,953,1650,
28817,for_sale,2000000,3,3,0.19,780900,Dorado,Puerto Rico,646,3500,
102909,for_sale,11500000,4,5,1.98,974575,Dorado,Puerto Rico,646,7000,
64069,for_sale,3500000,4,4,0.24,595727,Dorado,Puerto Rico,646,2500,
52707,for_sale,270000,3,3,0.3,1879198,Toa Alta,Puerto Rico,953,2400,
102909,for_sale,5000000,3,4,0.99,388280,Dorado,Puerto Rico,646,3500,
1205,for_sale,25000,,,0.15,12674,Toa Alta,Puerto Rico,953,,
33842,for_sale,172000,6,4,0.2,1940307,Naranjito,Puerto Rico,719,1880,
81909,for_sale,65000,6,4,0.1,397849,Toa Alta,Puerto Rico,953,2600,
3606,for_sale,1325000,4,3,0.19,600545,Dorado,Puerto Rico,646,2500,
102909,for_sale,625000,3,2,,5095,Vega Alta,Puerto Rico,692,2096,
3606,for_sale,465000,3,2,0.27,1609595,Dorado,Puerto Rico,646,2200,
102909,for_sale,575000,3,3,0.52,652522,Dorado,Puerto Rico,646,1500,
29325,for_sale,1100000,4,3,0.14,1484017,Dorado,Puerto Rico,646,3500,
46667,for_sale,550000,3,2,0.1,1837660,Dorado,Puerto Rico,646,1800,
8688,for_sale,895000,4,3,0.12,1947221,Dorado,Puerto Rico,646,2490,
37634,for_sale,495000,3,2,,1946328,Vega Alta,Puerto Rico,646,1564,
18214,for_sale,635000,3,2,0.07,6119,Vega Alta,Puerto Rico,692,2100,
102909,for_sale,1125000,2,2,,1854725,Dorado,Puerto Rico,646,1172,
31239,for_sale,97000,1,2,,1988142,Cabo Rojo,Puerto Rico,622,900,
87549,for_sale,134000,3,1,0.08,1902722,Cabo Rojo,Puerto Rico,622,900,
48392,for_sale,365000,4,2,0.25,1139967,Cabo Rojo,Puerto Rico,622,2800,
31239,for_sale,260000,3,2,0.2,1645160,Cabo Rojo,Puerto Rico,622,2214,
49045,for_sale,75000,,,0.19,1856947,Boqueron,Puerto Rico,622,,
109906,for_sale,460000,4,2,0.22,1450082,Cabo Rojo,Puerto Rico,622,3328,
102017,for_sale,250000,,,0.99,268562,Cabo Rojo,Puerto Rico,622,,
61834,for_sale,1321000,,,10.29,1917469,Cabo Rojo,Puerto Rico,622,,
103378,for_sale,63000,4,2,0.48,1888053,Hormigueros,Puerto Rico,660,1233,
87549,for_sale,75000,3,2,0.12,1819530,Mayaguez,Puerto Rico,680,1200,
52707,for_sale,325000,5,5,0.19,1879192,Cabo Rojo,Puerto Rico,623,4000,
103378,for_sale,499900,4,2,10.76,2000888,Yauco,Puerto Rico,698,,
87549,for_sale,101800,3,2,0.07,1879216,Cabo Rojo,Puerto Rico,623,1000,
87549,for_sale,25000,1,1,0.12,962678,Cabo Rojo,Puerto Rico,623,491,
52707,for_sale,205000,3,3,0.27,1002452,Guanica,Puerto Rico,653,976,
102017,for_sale,135000,4,2,0.12,198778,Hormigueros,Puerto Rico,660,1163,
87549,for_sale,104000,3,2,0.08,1311508,Mayaguez,Puerto Rico,682,1175,
52707,for_sale,275000,3,2,0.97,1902773,Lajas,Puerto Rico,667,1200,
81495,for_sale,182000,,,1.4,1902859,Cabo Rojo,Puerto Rico,623,,
78414,for_sale,1400000,,,6.44,1902832,Cabo Rojo,Puerto Rico,623,,
52707,for_sale,155000,,,5.78,1902829,San German,Puerto Rico,683,,
77601,for_sale,115000,,,0.42,1009987,Cabo Rojo,Puerto Rico,636,,
52707,for_sale,100000,3,2,0.12,1193340,Cabo Rojo,Puerto Rico,623,1044,
52707,for_sale,75000,3,1,0.03,1104886,Cabo Rojo,Puerto Rico,623,980,
87549,for_sale,122000,4,2,0.19,521774,Cabo Rojo,Puerto Rico,623,1400,
88444,for_sale,150000,3,1,0.16,1837366,Cabo Rojo,Puerto Rico,623,936,
31238,for_sale,325000,3,4,0.23,1917857,Cabo Rojo,Puerto Rico,623,3089,
101,for_sale,130000,3,4,0.09,560375,Cabo Rojo,Puerto Rico,623,2064,
72457,for_sale,139900,2,2,0.46,34931,Cabo Rojo,Puerto Rico,623,1242,
49045,for_sale,395000,8,5,0.48,58866,Cabo Rojo,Puerto Rico,623,8368,
65773,for_sale,375000,5,4,0.22,387597,Cabo Rojo,Puerto Rico,623,2700,
52707,for_sale,2500000,6,8,9.65,1856949,Cabo Rojo,Puerto Rico,623,10244,
48230,for_sale,385000,3,3,0.26,1855340,Cabo Rojo,Puerto Rico,623,2069,
87549,for_sale,600000,8,7,0.43,1842699,Cabo Rojo,Puerto Rico,623,3192,
77601,for_sale,195000,2,2,,6938,Cabo Rojo,Puerto Rico,623,1377,
48230,for_sale,1995000,5,6,5,1946165,Cabo Rojo,Puerto Rico,623,10000,
30740,for_sale,220000,1,1,,1940313,Cabo Rojo,Puerto Rico,623,736,
88444,for_sale,81500,,,0.4,1850804,Cabo Rojo,Puerto Rico,623,,
52707,for_sale,3000000,6,6,7.8,1906150,Cabo Rojo,Puerto Rico,623,8000,
87549,for_sale,54000,,,0.73,1016110,Cabo Rojo,Puerto Rico,623,,
46019,for_sale,275000,,,3.57,1946165,Cabo Rojo,Puerto Rico,623,,
87549,for_sale,950000,,,112.66,1902817,Cabo Rojo,Puerto Rico,623,,
81909,for_sale,375000,,,0.52,196589,Cabo Rojo,Puerto Rico,623,,
31238,for_sale,840000,,,0.96,1946165,Cabo Rojo,Puerto Rico,623,,
85121,for_sale,375000,,,0.51,1902867,Cabo Rojo,Puerto Rico,623,,
3763,for_sale,70000,3,1,0.04,1884194,Penuelas,Puerto Rico,624,913,
83881,for_sale,799000,5,3,0.49,1837520,Penuelas,Puerto Rico,624,2500,
103378,for_sale,74500,3,1,0.08,1899174,Penuelas,Puerto Rico,624,917,
103378,for_sale,70000,3,2,0.09,795443,San Sebastian,Puerto Rico,685,1120,
67333,for_sale,85000,3,2,0.08,1868706,Ponce,Puerto Rico,728,1500,
